protein-name,intent-group,available,Plasmid Name,Gene or insert Name,Alternative Gene/Insert Name 1,Entrez Gene ID,Additional Species of gene or insert,Relevant Mutations,N-terminal Tag,C-terminal Tag,Backbone Name,Bacterial Resistance,Selectable Marker,high or low copy,design-description
ORF10,Mammalian expression,false,pGBW-m4136075,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136077,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136101,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136105,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136109,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136117,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136127,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136129,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136132,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136136,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136145,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136150,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136154,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136160,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136173,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136175,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136176,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;6xHis-003,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136184,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136198,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136207,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136217,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136219,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;3xFlag protein purification sequence tag |  |  | synthetic | 3xFlag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136231,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136233,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136241,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136253,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;S-tag protein purification sequence tag |  |  | synthetic | S-tag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136254,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136258,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136261,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;V5 protein purification sequence tag |  |  | synthetic | V5 protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136274,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;HA protein purification sequence tag |  |  | synthetic | HA protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136279,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TapTag protein purification sequence tag |  |  | synthetic | TapTag protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136283,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136287,ORF10 protein,,YP_009725255.1,Homo sapiens,wt,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136308,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136319,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;TRX protein purification sequence tag |  |  | synthetic | TRX protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136320,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Puro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136337,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;EGFP-002,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Mammalian expression,false,pGBW-m4136345,ORF10 protein,,YP_009725255.1,Homo sapiens,H. sapiens recode 1,,TEV protein purification sequence tag |  |  | synthetic | TEV protein purification sequence tag | wt | H. sapiens recode 1;CBP protein purification sequence tag |  |  | synthetic | CBP protein purification sequence tag | wt | H. sapiens recode 1,pTwist_CMV_Hygro_6 with AarI site removed,,,,Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones
ORF10,Yeast expression,true,pGBW-m4046236,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046254,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046273,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046324,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046330,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046331,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046357,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046443,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046458,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046486,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046490,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046507,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046534,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046547,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046569,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046573,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046615,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046652,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae recode 1,,,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046678,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
ORF10,Yeast expression,true,pGBW-m4046683,ORF10 protein,,YP_009725255.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,P141 covid19 protein expression and purification designs
