intent-group,loom-design,molecule,strain,loom-name,loom-description,design/epitope,design/misc,design/misc-2,design-genome/organism,design/orf,design/epitope-protein-mutations,design/epitope-source-organism,design/orf-protein-mutations,design/orf-source-organism,design/part,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
Mammalian expression,1069,4135848,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135820,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135846,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135813,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135871,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135822,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135861,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135821,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135877,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135904,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135920,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135924,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135865,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135911,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135894,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135856,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135901,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135814,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135885,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135827,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135921,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135850,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135817,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135889,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135843,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135876,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135890,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135913,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135895,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135828,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135851,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135859,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135919,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135838,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135823,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135866,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135878,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135922,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135910,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135819,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135874,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135867,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135909,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135826,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135834,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135875,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135829,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135912,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135825,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135824,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135869,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135893,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135860,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135896,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135854,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135906,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135835,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135818,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135916,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135888,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135868,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135886,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135908,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135905,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135855,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135923,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135899,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135872,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135830,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135884,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135852,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135918,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135847,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135849,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135900,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135845,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135857,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1069,4135841,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6,ampicillin,high
Mammalian expression,1069,4135839,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135881,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6,ampicillin,high
Mammalian expression,1069,4135831,,Copy of Mammalian encoding Covid19 orf expression round 1 (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
