intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-2,design/promoter,design/orf-protein-mutations,design/orf-source-organism,design/orf-2-protein-mutations,design/orf-2-source-organism,design/promoter-source-organism,design-genome/organism,design/backbone
Yeast expression,946,4046219,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046217,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046199,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046483,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046222,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046542,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046278,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046382,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046435,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046190,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046295,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046328,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046376,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046363,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046338,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046541,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046341,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046264,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046409,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046453,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,,,pTEF1,,,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046312,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046204,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046287,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046378,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,,,pGAL1,,,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046254,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046276,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046494,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046305,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046273,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046457,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046342,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046590,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046240,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046179,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046200,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046245,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046443,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046272,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046455,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046547,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046320,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046362,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046526,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046380,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046302,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046293,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046301,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046347,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046345,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046478,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046398,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046559,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046191,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046201,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046281,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046565,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046218,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046296,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046313,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046364,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046397,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046480,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046476,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046486,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046582,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Escherichia coli (strain K12):P0AEX9,,pTEF1,d1-26 d393-396,Escherichia coli (strain K12),,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046469,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046580,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046202,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046288,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046211,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046423,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
